Id,Пол,ФИО,Дата окончания обучения,Группа,Специальность,Работает по специальности
0,мужской,Эдуард Максимович Кунишников,25.12.2003,66,Техника и технологии наземного транспорта,True
1,мужской,Виталий Максимович Щатиров,5.10.2001,58,Электронные приборы и устройства,True
2,мужской,Юрий Юрьевич Тюльпаков,29.9.2005,52,Документационное обеспечение управления и архивоведение,True
3,мужской,Виктор Юрьевич Скитнев,4.8.2006,53,Юриспруденция,False
4,мужской,Артём Евгеньевич Таманов,27.10.2005,61,Прикладная информатика (по отраслям),True
5,мужской,Юрий Романович Гонин,11.8.2006,55,Прикладная информатика (по отраслям),False
6,мужской,Станислав Денисович Никошков,4.3.2002,70,Юриспруденция,False
7,женский,Надежда Викторовна Колонских,12.6.2004,58,Право и организация социального обеспечения,True
8,мужской,Евгений Игоревич Окритов,8.1.2005,65,Организация перевозок и управление на транспорте (по видам),False
9,женский,Кира Дмитриевна Евпатова,29.8.2002,65,Техника и технологии наземного транспорта,True
10,женский,Карина Вадимовна Церерина,18.3.2003,53,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
11,женский,Светлана Викторовна Спирькина,5.7.2004,50,Информационные системы и программирование,True
12,женский,Наталия Кирилловна Калядова,14.6.2001,70,"Электроника, радиотехника и системы связи",False
13,мужской,Федор Адамович Кашаров,13.1.2002,52,История и археология,False
14,мужской,Александр Иванович Замашикин,2.4.2003,51,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
15,мужской,Тарас Валериевич Миргазев,30.9.2002,57,Организация перевозок и управление на транспорте (по видам),False
16,мужской,Георгий Антонович Орловцев,23.2.2000,59,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
17,мужской,Артур Яковлевич Петрикин,19.5.2000,53,Технологии материалов,False
18,женский,Елизавета Василевна Федошева,2.6.2006,57,Юриспруденция,False
19,женский,Алена Никитична Гурилова,12.3.2006,55,Юриспруденция,False
20,мужской,Максим Аркадиевич Ушничков,17.12.2006,67,Изобразительные и прикладные виды искусств,True
21,женский,Ксения Аркадьевна Кисслева,25.10.2001,62,Сетевое и системное администрирование,False
22,женский,Полина Эдуардовна Фабинская,10.4.2003,51,Информатика и вычислительная техника,True
23,женский,Алена Егоровна Еланихина,25.7.2001,51,Электронные приборы и устройства,False
24,мужской,Пётр Викторович Залямев,12.10.2006,67,Техническое обслуживание и ремонт автомобильного транспорта,True
25,мужской,Пётр Юриевич Калюжин,29.1.2000,63,Технология парикмахерского искусства,False
26,мужской,Валерий Валериевич Лудилов,24.10.2004,58,Право и организация социального обеспечения,False
27,женский,Любовь Дмитриевна Агниуллина,10.12.2002,68,Техника и технологии наземного транспорта,False
28,мужской,Кирилл Данилович Шишанкин,3.9.2003,65,История и археология,True
29,мужской,Игорь Алексиевич Крейдин,16.2.2001,53,Теплоснабжение и теплотехническое оборудование,True
30,женский,Елена Сергеевна Помещикова,18.8.2005,66,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
31,мужской,Валентин Денисович Скрялев,5.10.2004,57,Теплоснабжение и теплотехническое оборудование,True
32,женский,Кристина Евгеньевна Киворкова,15.9.2000,64,Техника и технологии наземного транспорта,False
33,мужской,Артур Кириллович Лихотин,16.12.2004,70,Право и организация социального обеспечения,False
34,мужской,Степан Иванович Базанин,1.2.2004,66,Изобразительные и прикладные виды искусств,False
35,мужской,Владислав Игоревич Инюков,9.3.2001,62,Дизайн (по отраслям),False
36,мужской,Виталий Яковлевич Синягов,9.7.2005,62,Информатика и вычислительная техника,True
37,женский,Светлана Борисовна Шинелева,5.6.2005,60,Изобразительные и прикладные виды искусств,False
38,женский,Маргарита Михайловна Бреканцева,8.8.2006,60,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
39,женский,Ольга Кирилловна Тюшкова,22.12.2001,55,Прикладная информатика (по отраслям),False
40,мужской,Денис Антонович Смахтин,11.4.2006,54,"Электроника, радиотехника и системы связи",False
41,мужской,Вячеслав Адамович Трушанов,27.9.2003,63,Технология парикмахерского искусства,False
42,женский,Виолетта Кирилловна Козаринова,15.5.2003,61,Организация перевозок и управление на транспорте (по видам),False
43,мужской,Григорий Денисович Марзиев,1.4.2000,52,Юриспруденция,True
44,женский,Вероника Аркадьевна Чуродаева,29.1.2006,54,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
45,мужской,Илья Юрьевич Ишалеев,23.11.2005,65,Информационные системы и программирование,True
46,женский,Карина Сергеевна Дистанова,10.4.2003,51,Сварочное производство,False
47,мужской,Леонид Алексиевич Белецкий,12.3.2006,70,Право и организация социального обеспечения,False
48,женский,Яна Валерьевна Россова,18.8.2000,69,Сетевое и системное администрирование,False
49,мужской,Пётр Георгиевич Болотнев,8.6.2005,64,Технологии материалов,True
50,мужской,Степан Данилович Ульвин,14.2.2005,64,Юриспруденция,False
51,мужской,Федор Борисович Ваиньев,9.6.2003,64,Право и организация социального обеспечения,False
52,мужской,Никита Максимович Пилин,19.3.2005,64,Информационные системы и программирование,True
53,мужской,Василий Вадимович Сапкин,10.2.2003,64,Документационное обеспечение управления и архивоведение,False
54,мужской,Федор Адамович Дукорский,10.6.2005,56,Информатика и вычислительная техника,True
55,женский,Кира Викторовна Дарченкова,30.7.2006,65,Сервис и туризм,False
56,мужской,Евгений Леонидович Тюшкин,12.11.2001,66,Юриспруденция,False
57,мужской,Артур Иванович Тарлычев,15.5.2003,69,Электро- и теплоэнергетика,True
58,мужской,Леонид Тимофеевич Булепкин,19.7.2005,52,Документационное обеспечение управления и архивоведение,False
59,мужской,Дмитрий Валериевич Гиндин,20.11.2002,66,Техника и технологии наземного транспорта,False
60,женский,Марина Аркадьевна Старцева,24.3.2000,56,Изобразительные и прикладные виды искусств,True
61,мужской,Евгений Олегович Узянов,10.9.2004,66,Право и организация социального обеспечения,False
62,мужской,Игорь Леонидович Леганцов,10.9.2000,59,Информатика и вычислительная техника,False
63,мужской,Михаил Иванович Гнездарев,3.7.2005,53,Сварочное производство,False
64,женский,Анна Борисовна Халамеева,20.4.2002,68,Сварочное производство,False
65,мужской,Артём Данилович Негреев,6.1.2003,60,Электронные приборы и устройства,False
66,мужской,Евгений Валериевич Акеенов,30.11.2000,52,Электронные приборы и устройства,False
67,мужской,Анатолий Аркадиевич Федорищев,13.8.2006,63,Прикладная информатика (по отраслям),False
68,женский,Инна Михайловна Карабашева,15.4.2001,64,Право и организация социального обеспечения,False
69,женский,Инна Максимовна Пожарская,21.6.2000,50,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
70,женский,Юлия Сергеевна Бокоярова,19.5.2000,63,Техника и технологии наземного транспорта,False
71,мужской,Денис Юрьевич Погонов,29.12.2006,68,Право и организация социального обеспечения,False
72,мужской,Федор Валериевич Звездичев,27.9.2004,59,Организация перевозок и управление на транспорте (по видам),False
73,женский,Алена Егоровна Гурлева,28.1.2004,53,Прикладная информатика (по отраслям),False
74,мужской,Вадим Романович Котельцев,20.4.2000,62,Организация перевозок и управление на транспорте (по видам),True
75,мужской,Аркадий Олегович Радичкин,24.2.2005,57,Сварочное производство,True
76,женский,Евгения Петровна Виресова,28.9.2004,69,Информатика и вычислительная техника,False
77,мужской,Эдуард Юрьевич Хожоинов,24.3.2001,66,Теплоснабжение и теплотехническое оборудование,False
78,мужской,Роман Иванович Мылтыкбаев,7.9.2003,55,Право и организация социального обеспечения,False
79,мужской,Никита Николаевич Целомудров,22.5.2001,69,Техническое обслуживание и ремонт автомобильного транспорта,False
80,мужской,Артур Иванович Тушнов,15.11.2004,67,Прикладная информатика (по отраслям),False
81,мужской,Василий Олегович Старичнев,21.3.2001,69,Сварочное производство,False
82,женский,Александра Николаевна Афоненкова,25.6.2003,63,История и археология,True
83,женский,Кира Андреевна Ивентьева,20.6.2001,70,Дизайн (по отраслям),True
84,женский,Кира Андреевна Создаева,8.6.2004,65,Техническое обслуживание и ремонт автомобильного транспорта,True
85,мужской,Тарас Евгеньевич Вишератин,1.11.2004,56,Изобразительные и прикладные виды искусств,False
86,мужской,Федор Евгеньевич Бесяков,18.10.2003,53,История и археология,False
87,женский,Вероника Леонидовна Натейкина,19.7.2006,57,Сервис и туризм,True
88,мужской,Ярослав Адамович Локманов,5.12.2000,53,Теплоснабжение и теплотехническое оборудование,True
89,мужской,Роман Петрович Аптикеев,28.7.2001,57,Право и организация социального обеспечения,True
90,мужской,Константин Данилович Меркин,16.8.2005,69,Право и организация социального обеспечения,False
91,женский,Анастасия Алексеевна Порамнова,24.5.2005,60,Документационное обеспечение управления и архивоведение,True
92,мужской,Анатолий Павлович Прощалыкин,26.4.2004,70,Организация перевозок и управление на транспорте (по видам),True
93,мужской,Артём Тимофеевич Танаков,4.7.2001,70,Прикладная информатика (по отраслям),True
94,мужской,Степан Георгиевич Бобанев,25.3.2005,70,Информатика и вычислительная техника,True
95,мужской,Тарас Валериевич Карпунькин,29.3.2005,59,Электро- и теплоэнергетика,False
96,мужской,Виктор Алексиевич Хайрулин,20.2.2001,59,Организация перевозок и управление на транспорте (по видам),True
97,мужской,Артём Юрьевич Темчин,10.4.2000,69,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
98,мужской,Альберт Данилович Осипычев,4.2.2005,66,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
99,мужской,Никита Кириллович Сгибнев,21.6.2001,63,Документационное обеспечение управления и архивоведение,True
100,мужской,Игорь Георгиевич Тимонин,30.9.2003,65,Техника и технологии наземного транспорта,False
101,мужской,Валентин Адамович Сильченков,16.12.2004,50,Сетевое и системное администрирование,False
102,мужской,Леонид Игоревич Ягловский,10.12.2002,51,Информационные системы и программирование,False
103,мужской,Игорь Леонидович Кадчиков,2.9.2005,52,Информационные системы и программирование,True
104,женский,Яна Вадимовна Халдушкина,22.2.2006,59,История и археология,False
105,мужской,Анатолий Алексиевич Ляхманов,13.7.2002,70,История и археология,True
106,мужской,Вадим Денисович Ашмаренков,22.5.2004,69,Сварочное производство,False
107,мужской,Михаил Николаевич Суровинов,2.8.2000,59,Юриспруденция,False
108,женский,Алёна Викторовна Шомполова,25.2.2002,64,Информатика и вычислительная техника,False
109,мужской,Георгий Михаилович Алушкин,30.6.2001,51,Электронные приборы и устройства,True
110,мужской,Никита Вадимович Можаровцев,8.6.2005,53,Техника и технологии наземного транспорта,False
111,мужской,Аркадий Данилович Сначев,9.3.2006,66,"Электроника, радиотехника и системы связи",False
112,мужской,Валентин Евгеньевич Остапенков,18.3.2004,69,Прикладная информатика (по отраслям),False
113,мужской,Иван Романович Бухенский,8.4.2003,63,Право и организация социального обеспечения,True
114,женский,Вероника Андреевна Думброва,11.8.2000,70,Дизайн (по отраслям),False
115,мужской,Борис Алексеевич Ктселев,8.1.2006,66,Дизайн (по отраслям),False
116,мужской,Кирилл Андреевич Лепешкин,13.5.2000,61,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
117,женский,Мария Валерьевна Далецкая,29.3.2005,56,Изобразительные и прикладные виды искусств,False
118,мужской,Аркадий Борисович Какбуриев,5.12.2002,69,Информатика и вычислительная техника,True
119,мужской,Артём Алексеевич Яловицин,24.2.2002,63,"Электроника, радиотехника и системы связи",True
120,мужской,Роман Игоревич Титзаев,24.2.2003,63,Право и организация социального обеспечения,False
121,женский,Виктория Романовна Зизикова,12.1.2003,56,Прикладная информатика (по отраслям),False
